Step	BrLen0	BrLen1	BrLen2	BrLen3	BrLen4	BrLen5	BrLen6	BrLen7	BrLen8	BrLen9	GC.theta	T92.theta_1	T92.theta_2	T92.theta_3	T92.theta_4	T92.theta_5	T92.theta_6	T92.theta_7	T92.theta_8	T92.theta_9	T92.theta_10	T92.kappa_1	Gamma.alpha	Function	Time
0	0.1	0.2	0.3	0.1	0.2	0.3	0.2	0.05	0.1	0.1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	3	1.00346	5500.348371	0.000000
1	0.0975899	0.19758	0.309453	0.10917	0.210746	0.29495	0.215313	0.0629215	0.0887075	0.110746	0.529447	0.749999	0.694012	0.749999	0.49711	0.721592	0.419734	0.575428	0.743913	0.58199	0.497905	2.68009	1.03111	5333.114820	0.000000
2	0.102205	0.204836	0.308634	0.106705	0.211177	0.284046	0.219455	0.0684478	0.0793715	0.0904233	0.522242	0.874999	0.803026	0.874999	0.46986	0.772109	0.401462	0.626412	0.76495	0.572677	0.496113	2.75048	0.991611	5307.825192	0.000000
3	0.0816609	0.201096	0.211137	0.103063	0.226028	0.284861	0.222713	0.0794441	0.086551	0.0958744	0.50102	0.837388	0.817094	0.846752	0.483286	0.805161	0.397715	0.685385	0.813336	0.581761	0.615521	2.92472	0.854416	5305.612515	0.000000
4	0.0919101	0.204816	0.238571	0.113881	0.217487	0.276314	0.209598	0.0722705	0.078534	0.0721273	0.49131	0.871461	0.822679	0.898885	0.44988	0.809369	0.403371	0.682987	0.797556	0.530062	0.594506	3.00197	0.892529	5299.704035	0.000000
5	0.0904599	0.202167	0.224991	0.112431	0.225356	0.28171	0.207458	0.0783518	0.0864519	0.0828503	0.487434	0.840574	0.818265	0.878349	0.475099	0.827583	0.407816	0.695522	0.823689	0.538777	0.770326	3.04359	0.907541	5299.552189	0.000000
6	0.0959573	0.204517	0.238285	0.114569	0.213802	0.27813	0.204999	0.0737935	0.0833558	0.0587112	0.476554	0.848667	0.821135	0.889616	0.463854	0.827773	0.405669	0.696504	0.808927	0.486557	0.735607	3.06303	0.911665	5297.480482	0.000000
7	0.0960021	0.202936	0.236795	0.115114	0.21564	0.277423	0.204197	0.0756825	0.0842837	0.0637524	0.477365	0.843031	0.819943	0.88584	0.463532	0.833226	0.406622	0.699667	0.816936	0.495619	0.797136	3.06098	0.911322	5297.175271	0.000000
8	0.0973989	0.20301	0.239392	0.11428	0.213288	0.277022	0.203393	0.0752149	0.0845446	0.0585244	0.473612	0.842125	0.82031	0.886109	0.463217	0.837523	0.405012	0.701207	0.813672	0.477371	0.787831	3.06526	0.911553	5296.985523	0.000000
9	0.0983036	0.201996	0.240279	0.114969	0.210546	0.27561	0.202063	0.0768586	0.0847643	0.0602645	0.472858	0.838545	0.819829	0.883741	0.455093	0.842886	0.405493	0.705096	0.819834	0.480804	0.825141	3.06568	0.910609	5296.902112	0.000000
10	0.0990152	0.202281	0.241972	0.113512	0.209086	0.275703	0.201467	0.0759352	0.0850895	0.0559037	0.470316	0.839315	0.82032	0.884428	0.456241	0.847373	0.404089	0.70559	0.815658	0.464819	0.816023	3.06696	0.911239	5296.775446	0.000000
11	0.0989615	0.201634	0.241774	0.114176	0.205706	0.274829	0.200799	0.0772147	0.0848855	0.057649	0.470612	0.83772	0.819983	0.882631	0.447024	0.850654	0.404703	0.707872	0.82079	0.47215	0.84553	3.06572	0.910317	5296.763339	0.000000
12	0.0994112	0.20193	0.243067	0.112641	0.204995	0.275063	0.200392	0.076195	0.0853152	0.0537777	0.468468	0.838679	0.820411	0.883309	0.449496	0.855197	0.403278	0.707742	0.816393	0.457105	0.836194	3.06621	0.911721	5296.655068	0.000000
13	0.0992674	0.20168	0.242819	0.113146	0.203266	0.274646	0.20026	0.0767917	0.0851064	0.0546674	0.46879	0.838106	0.820233	0.882516	0.444829	0.856179	0.403619	0.708475	0.818816	0.461806	0.848362	3.0654	0.911481	5296.612912	1.000000
14	0.0994762	0.201708	0.243626	0.112101	0.201321	0.274522	0.199799	0.0763504	0.0854067	0.0521641	0.467253	0.838467	0.820427	0.882351	0.443742	0.86156	0.402621	0.708809	0.816475	0.452627	0.847638	3.06483	0.912948	5296.584796	1.000000
15	0.0993031	0.201481	0.243289	0.112761	0.199668	0.274112	0.199745	0.0769565	0.0851562	0.0533419	0.467808	0.837963	0.820234	0.881619	0.43905	0.862049	0.403127	0.709372	0.81905	0.458532	0.860063	3.06359	0.912749	5296.546304	1.000000
16	0.0994928	0.201576	0.244026	0.111627	0.19809	0.27415	0.199442	0.0763745	0.0855396	0.0508222	0.466309	0.83848	0.820446	0.881662	0.439261	0.86696	0.402024	0.709303	0.816188	0.448967	0.857153	3.06263	0.914335	5296.538178	1.000000
17	0.0992848	0.201334	0.243584	0.112462	0.196448	0.273702	0.19946	0.0770581	0.0852103	0.0522494	0.467044	0.837909	0.820218	0.880916	0.434341	0.866972	0.402654	0.70982	0.819148	0.456196	0.87002	3.06152	0.913987	5296.499011	1.000000
18	0.0993876	0.201404	0.24395	0.111844	0.19586	0.273771	0.199349	0.0767034	0.0854393	0.0509347	0.46627	0.83821	0.820336	0.881029	0.435054	0.869301	0.402044	0.709664	0.817454	0.451003	0.867546	3.06111	0.914818	5296.476857	1.000000
19	0.0992525	0.201209	0.243769	0.11227	0.193598	0.273342	0.199301	0.0771457	0.0852644	0.0513783	0.466417	0.837846	0.820187	0.880347	0.43051	0.87111	0.402221	0.710042	0.819069	0.454707	0.876883	3.05983	0.915116	5296.463997	1.000000
20	0.0993623	0.201293	0.244119	0.111619	0.193227	0.273445	0.199193	0.0767481	0.0855228	0.0501359	0.465691	0.838177	0.820312	0.88052	0.431696	0.873355	0.40164	0.709819	0.817242	0.44938	0.874124	3.05938	0.915996	5296.444063	1.000000
21	0.0992324	0.201115	0.243899	0.112122	0.191096	0.273054	0.199193	0.0771973	0.0853313	0.0506921	0.465902	0.837815	0.820164	0.879915	0.42738	0.874686	0.401871	0.710141	0.818919	0.453492	0.88275	3.05818	0.916131	5296.437925	1.000000
22	0.0993421	0.201204	0.244231	0.111436	0.190891	0.273186	0.199095	0.0767767	0.0856059	0.0494771	0.465194	0.838147	0.820289	0.880125	0.428954	0.876851	0.401277	0.709879	0.817008	0.448034	0.879662	3.05784	0.917014	5296.419210	1.000000
23	0.0992143	0.201034	0.243982	0.112015	0.188885	0.272807	0.199127	0.0772404	0.0853884	0.0501262	0.465461	0.837772	0.820137	0.879572	0.424788	0.877795	0.401558	0.71018	0.818773	0.452522	0.887722	3.05682	0.917014	5296.418364	1.000000
24	0.0993263	0.201129	0.244303	0.111295	0.188823	0.272965	0.199032	0.0767973	0.0856803	0.0489249	0.464762	0.838111	0.820265	0.879812	0.426685	0.879894	0.400953	0.70989	0.81678	0.446905	0.884342	3.05654	0.917899	5296.400225	1.000000
25	0.099263	0.201047	0.244166	0.111618	0.187874	0.272781	0.199058	0.0770373	0.0855599	0.0492897	0.464921	0.837917	0.820187	0.879553	0.42465	0.880201	0.401117	0.710039	0.817709	0.44932	0.888152	3.0561	0.91784	5296.392063	2.000000
